Syllable,Pronunciation,Word,Frequency
AA,AA,AACHEN,751750
AA,AA,AARHUS,596188
CHEN,K AH N,AACHEN,751750
CHEN,K AH N,LICHEN,451869
CHEN,K AH N,REICHENBACH,86456
CHEN,K AH N,STEICHEN,63566
CHEN,CH IH N,CHECHEN,883505
CHEN,CH AH N,GRETCHEN,1149394
AARD,AA R,AARDVARK,629356
VARK,D V AA R K,AARDVARK,629356
RHUS,HH UW S,AARHUS,596188
AAR,EH R,AARON,11698784
ON,AH N,AARON,11698784
ON,AH N,ACCORDION,1220579
ON,AH N,ALBION,2348149
ON,AH N,ARON,635430
ON,AH N,BARON,3504549
ON,AH N,BYRON,4463413
ON,AH N,CAMERON,8064574
ON,AH N,CAMPION,382794
ON,AH N,CARRION,338853
ON,AH N,CATION,1824071
ON,AH N,CENTURION,892171
ON,AH N,CHAMELEON,1247136
ON,AH N,CHAMPION,14388928
ON,AH N,CHAMPIONSHIP,15559558
ON,AH N,CHARON,287067
ON,AH N,CHIRON,491643
ON,AH N,CLARION,3017281
ON,AH N,COLLODION,67949
ON,AH N,CRITERION,6145788
ON,AH N,DANDELION,536527
ON,AH N,DION,3100513
ON,AH N,GALLEON,232762
ON,AH N,GERONTOLOGIST,56285
ON,AH N,GERONTOLOGY,654400
ON,AH N,GIDEON,951296
ON,AH N,GIRON,53771
ON,AH N,GUYON,70825
ON,AH N,HALCYON,443548
ON,AH N,HERON,1576813
ON,AH N,HYPERION,954995
ON,AH N,IXION,38796
ON,AH N,LEONHARD,118673
ON,AH N,LION,11531749
ON,AH N,LIONHEART,275482
ON,AH N,LYON,4072136
ON,AH N,MARION,6889564
ON,AH N,MARRON,117396
ON,AH N,MCMAHON,1718982
ON,AH N,MICROPALEONTOLOGY,25057
ON,AH N,MITOCHONDRION,216838
ON,AH N,MYRON,667755
ON,AH N,NAPOLEON,3177380
ON,AH N,NICKELODEON,813928
ON,AH N,OBLIVION,1441405
ON,AH N,ORION,3538939
ON,AH N,PALEONTOLOGY,624763
ON,AH N,PEON,122953
ON,AH N,PERRON,174359
ON,AH N,RAYON,934490
ON,AH N,SCION,2245350
ON,AH N,SCORPION,1429532
ON,AH N,SHARON,11410497
ON,AH N,SIMEON,775459
ON,AH N,TORREON,67179
ON,AH N,ZION,2560270
ON,AA N,ADIRONDACK,1370037
ON,AA N,AILERON,151178
ON,AA N,BORON,865654
ON,AA N,CIMARRON,458999
ON,AA N,CRAYON,606502
ON,AA N,DEON,183954
ON,AA N,DEONTOLOGICAL,36525
ON,AA N,DEONTOLOGY,23296
ON,AA N,EON,661163
ON,AA N,FREON,178783
ON,AA N,GANGLION,374491
ON,AA N,HURON,1733830
ON,AA N,INTERFERON,1317188
ON,AA N,ION,12074177
ON,AA N,LEON,5939361
ON,AA N,LEONTYNE,30399
ON,AA N,MORON,1017416
ON,AA N,NEON,5187838
ON,AA N,NEURON,1257316
ON,AA N,OBERON,511914
ON,AA N,ONGOING,16983414
ON,AA N,ONSET,3858839
ON,AA N,ONSHORE,669051
ON,AA N,ONTARIO,35233760
ON,AA N,ONTO,26411439
ON,AA N,ONTOGENY,135562
ON,AA N,ONTOLOGICAL,451168
ON,AA N,ONTOLOGY,2077123
ON,AA N,OXYMORON,361483
ON,AA N,PANTHEON,800776
ON,AA N,PION,405380
ON,AA N,TORONTO,30462849
ON,AO N,ANION,504530
ON,AO N,GARON,70982
ON,AO N,MALATHION,162796
ON,AO N,MARON,135149
ON,AO N,ONCOMING,324940
ON,AO N,ONDO,42447
ON,AO N,ONSLAUGHT,775336
ON,AO N,THEREON,2045762
ON,G AH N,BANDWAGON,771081
ON,G AH N,DRAGON,17377430
ON,G AH N,SNAPDRAGON,97351
ON,G AH N,WAGON,5198530
ON,K AH N,BECKON,147231
ON,K AH N,RECKON,1155335
ON,K AH N,RECONCILE,1256296
ON,K AH N,RECONCILED,724666
ON,K AH N,RECONCILING,506625
ON,K AH N,UNRECONCILED,15734
ON,T AH N,BRIGHTON,7608900
ON,T AH N,BRITON,374390
ON,N AH,CANONIZATION,95273
ON,N AH,CANONIZED,97556
ON,M AH N S,DEMONSTRATE,14807121
ON,M AH N S,DEMONSTRATED,11721030
ON,M AH N S,DEMONSTRATING,3345093
ON,M AH N S,DEMONSTRATION,9347680
ON,V AH N,DEVON,6896016
ON,V AA N,DEVONSHIRE,521495
ON,K S AH N,DIXON,4265747
ON,K S AH N,NIXON,3913498
ON,K S AH N,SAXON,2118651
ON,L AH N,FELON,392714
ON,L AH N,MELON,1355214
ON,L AH N,MUSKMELON,22342
ON,L AH N,TALON,858061
ON,L AH N,WATERMELON,880379
ON,Z AH N,IMPRISON,167427
ON,Z AH N,PRISON,15837188
ON,Z AH,IMPRISONMENT,2964248
ON,M AH N,LEMON,9066930
ON,M AH N,SALMON,9757346
ON,M AH,LEMONADE,1077090
ON,N AO N,MENON,349920
ON,AA NG,ONCOLOGY,4250235
ON,AA N S,ONSTAGE,672953
ON,K AA N,RACONTEUR,61058
ON,N AA,SYNONYMOUS,1138788
ON,N AA,SYNONYMOUSLY,47803
ON,K S AO,TAXONOMY,3655978
ON,P AH N,WEAPON,9724562
A,AH,ABACK,272920
A,AH,ABANDON,2747961
A,AH,ABANDONED,6371760
A,AH,ABANDONMENT,1297503
A,AH,ABATE,470646
A,AH,ABATED,250433
A,AH,ABATEMENT,1606065
A,AH,ABATING,90502
A,AH,ABBOUD,183991
A,AH,ABBREVIATE,140105
A,AH,ABBREVIATED,1217434
A,AH,ABBREVIATING,21824
A,AH,ABBREVIATION,1693819
A,AH,ABED,147933
A,AH,ABELE,62988
A,AH,ABET,286436
A,AH,ABETTED,145570
A,AH,ABETTING,233760
A,AH,ABEYANCE,131094
A,AH,ABHORRED,77612
A,AH,ABHORRENCE,93985
A,AH,ABIDE,3722809
A,AH,ABIDED,51950
A,AH,ABIDING,947738
A,AH,ABILITY,52004289
A,AH,ABLATE,20449
A,AH,ABLATION,635932
A,AH,ABLAZE,321096
A,AH,ABLUTION,137649
A,AH,ABOARD,4080258
A,AH,ABODE,1246541
A,AH,ABOLISH,912065
A,AH,ABOMINABLE,317597
A,AH,ABOMINATION,396240
A,AH,ABORT,1569892
A,AH,ABORTIFACIENT,39182
A,AH,ABORTION,9397315
A,AH,ABORTIONIST,67934
A,AH,ABORTIVE,175796
A,AH,ABOUND,1494791
A,AH,ABOUT,1226734006
A,AH,ABOVE,141894620
A,AH,ABOVEBOARD,13211
A,AH,ABRAM,610831
A,AH,ABRASION,827493
A,AH,ABRASIVE,1246390
A,AH,ABRAXAS,139490
A,AH,ABREAST,755392
A,AH,ABRIDGE,96435
A,AH,ABRIDGED,1436609
A,AH,ABRIDGEMENT,57411
A,AH,ABRIDGING,59340
A,AH,ABROAD,14837382
A,AH,ABRUPT,920475
A,AH,ABRUPTLY,1051602
A,AH,ABRUPTNESS,31216
A,AH,ABSOLVE,166260
A,AH,ABSOLVED,114147
A,AH,ABSOLVING,29313
A,AH,ABSORB,2378096
A,AH,ABSORBED,3125006
A,AH,ABSORBENCY,102305
A,AH,ABSORBENT,788293
A,AH,ABSORBER,772906
A,AH,ABSORBING,1613367
A,AH,ABSORPTION,5294724
A,AH,ABSURD,2148981
A,AH,ABSURDITY,544495
A,AH,ABSURDLY,201254
A,AH,ABUNDANCE,4870991
A,AH,ABUNDANT,3441495
A,AH,ABUNDANTLY,531094
A,AH,ABUSE,36269685
A,AH,ABUSED,3319897
A,AH,ABUSER,423584
A,AH,ABUSING,1007630
A,AH,ABUSIVE,3183793
A,AH,ABUT,186583
A,AH,ABUTTED,25341
A,AH,ABUTTING,315091
A,AH,ABUZZ,101924
A,AH,ABYSMAL,386384
A,AH,ABYSMALLY,38416
A,AH,ABYSS,1152408
A,AH,ACACIA,1044793
A,AH,ACADEMIA,2202285
A,AH,ACADEMY,29252165
A,AH,ACADIA,1655174
A,AH,ACCENT,6036395
A,AH,ACCEPTABILITY,691803
A,AH,ACCESSION,4673797
A,AH,ACCLAIM,1784066
A,AH,ACCOMMODATE,7002915
A,AH,ACCOMMODATED,1506562
A,AH,ACCOMMODATING,960249
A,AH,ACCOMMODATION,60589803
A,AH,ACCOMMODATIVE,66547
A,AH,ACCOMPANIED,8119884
A,AH,ACCOMPANIST,153694
A,AH,ACCOMPANY,3439497
A,AH,ACCOMPANYING,5681015
A,AH,ACCOMPLICE,316255
A,AH,ACCOMPLISH,6091676
A,AH,ACCOMPLISHED,7928651
A,AH,ACCOMPLISHMENT,1904294
A,AH,ACCORD,5034197
A,AH,ACCORDANCE,25194680
A,AH,ACCORDING,72553085
A,AH,ACCORDINGLY,8960086
A,AH,ACCORDION,1220579
A,AH,ACCOST,29427
A,AH,ACCOSTED,117096
A,AH,ACCOUNT,203611349
A,AH,ACCOUNTABILITY,9011124
A,AH,ACCOUNTABLE,3501555
A,AH,ACCOUNTANCY,2528048
A,AH,ACCOUNTANT,4289265
A,AH,ACCOUNTING,40819336
A,AH,ACCOUTREMENT,12733
A,AH,ACCREDIT,121662
A,AH,ACCREDITATION,6733072
A,AH,ACCRETED,61877
A,AH,ACCRETION,649735
A,AH,ACCRUAL,1003020
A,AH,ACCRUE,927430
A,AH,ACCRUED,2391008
A,AH,ACCRUING,384560
A,AH,ACCUMULATE,1715457
A,AH,ACCUMULATED,4018104
A,AH,ACCUMULATING,722990
A,AH,ACCUMULATION,4064397
A,AH,ACCUMULATIVE,103072
A,AH,ACCUMULATOR,432873
A,AH,ACCURACY,29536020
A,AH,ACCUSATIVE,145450
A,AH,ACCUSATORY,63463
A,AH,ACCUSE,1048371
A,AH,ACCUSED,8659913
A,AH,ACCUSER,280605
A,AH,ACCUSING,872745
A,AH,ACCUSINGLY,23015
A,AH,ACCUSTOM,58028
A,AH,ACCUSTOMED,1647188
A,AH,ACERBIC,105406
A,AH,ACETIC,602572
A,AH,ACETYLCHOLINE,559111
A,AH,ACETYLENE,280724
A,AH,ACHAEAN,29646
A,AH,ACHIEVABLE,1130204
A,AH,ACHIEVE,27332769
A,AH,ACHIEVED,17086330
A,AH,ACHIEVEMENT,12845656
A,AH,ACHIEVER,303591
A,AH,ACHIEVING,8773550
A,AH,ACHILLES,1163397
A,AH,ACIDIC,1167972
A,AH,ACIDIFICATION,219559
A,AH,ACIDIFIED,83315
A,AH,ACIDIFY,15957
A,AH,ACIDITY,762392
A,AH,ACOUSTIC,10857417
A,AH,ACOUSTICAL,749458
A,AH,ACOUSTICS,2517859
A,AH,ACQUAINT,366737
A,AH,ACQUAINTANCE,1339448
A,AH,ACQUAINTANCESHIP,16165
A,AH,ACQUAINTED,1406439
A,AH,ACQUIRING,3272383
A,AH,ACQUISITIVE,66586
A,AH,ACQUIT,106959
A,AH,ACQUITTAL,306956
A,AH,ACQUITTED,585811
A,AH,ACQUITTING,20968
A,AH,ACROPOLIS,429879
A,AH,ACROSS,76597151
A,AH,ACRYLIC,6241613
A,AH,ACTUALIZE,73623
A,AH,ACTUALLY,69444655
A,AH,ACUITY,729449
A,AH,ACUMEN,537435
A,AH,ACUTE,11128841
A,AH,ACUTELY,515934
A,AH,ACUTENESS,37075
A,AH,ADAGIO,683835
A,AH,ADAIR,897652
A,AH,ADAPT,4675567
A,AH,ADAPTABILITY,604882
A,AH,ADAPTABLE,1057129
A,AH,ADAPTER,22290799
A,AH,ADAPTIVE,5711114
A,AH,ADAPTOR,6027066
A,AH,ADAR,165190
A,AH,ADDENDUM,1718292
A,AH,ADDICT,2910117
A,AH,ADDICTED,2386786
A,AH,ADDICTION,9331004
A,AH,ADDICTIVE,2309956
A,AH,ADDITION,73434482
A,AH,ADDITIONAL,132187702
A,AH,ADDITIONALLY,8737401
A,AH,ADEE,37285
A,AH,ADEL,516964
A,AH,ADELA,167668
A,AH,ADELBERT,51738
A,AH,ADELE,862242
A,AH,ADENOSINE,1020486
A,AH,ADENOVIRUS,438790
A,AH,ADEPT,1595303
A,AH,ADHERE,2655276
A,AH,ADHERENCE,1889709
A,AH,ADHERENT,269908
A,AH,ADHERING,762600
A,AH,ADIEU,274747
A,AH,ADIN,113928
A,AH,ADJACENT,9869232
A,AH,ADJOIN,71600
A,AH,ADJOINING,1784248
A,AH,ADJOURN,957864
A,AH,ADJOURNMENT,1365842
A,AH,ADJUDGE,30916
A,AH,ADJUDGED,242846
A,AH,ADJUDICATE,204822
A,AH,ADJUDICATED,399249
A,AH,ADJUDICATING,154135
A,AH,ADJUDICATION,1126202
A,AH,ADJUST,9115016
A,AH,ADJUSTABLE,11757528
A,AH,ADJUSTER,709135
A,AH,ADJUSTMENT,12343670
A,AH,ADMINISTER,3754648
A,AH,ADMINISTRATING,103564
A,AH,ADMINISTRATIVE,38339299
A,AH,ADMINISTRATOR,29589707
A,AH,ADMIRABLE,881910
A,AH,ADMIRABLY,334638
A,AH,ADMISSIBILITY,455901
A,AH,ADMISSIBLE,1064978
A,AH,ADMIT,8780656
A,AH,ADMITTANCE,398012
A,AH,ADMITTED,8784950
A,AH,ADO,1577461
A,AH,ADOBE,27538755
A,AH,ADOLPHUS,303028
A,AH,ADONIS,441770
A,AH,ADOPT,11272339
A,AH,ADOPTABLE,178768
A,AH,ADOPTED,22972983
A,AH,ADOPTER,302441
