Word,Pronunciation,Syllables,Frequency,Reading Difficulty,Spelling Difficulty
AACHEN,"['AA', 'K AH N']","['AA', 'CHEN']",751750,0.5219821051689912,0.6697391907063802
AARDVARK,"['AA R D', 'V AA R K']","['AARD', 'VARK']",629356,0.4002947182586392,0.5294316472651468
AARHUS,"['AA', 'HH UW S']","['AAR', 'HUS']",596188,0.5591542312254971,0.6268762427342605
AARON,"['EH', 'R AH N']","['AA', 'RON']",11698784,0.5644213837019868,0.7079988926821517
ABACK,"['AH', 'B AE K']","['A', 'BACK']",272920,0.5200711837339692,0.4344832852935186
ABACO,"['AE', 'B AH', 'K OW']","['AB', 'A', 'CO']",225849,0.7911510587509889,0.757014041329562
ABACUS,"['AE', 'B AH', 'K AH S']","['AB', 'A', 'CUS']",1017068,0.7403792657357943,0.7437594701064875
ABALONE,"['AE', 'B AH', 'L OW', 'N IY']","['AB', 'A', 'LO', 'NE']",518562,0.7816991578804637,0.8340456714701561
ABANDON,"['AH', 'B AE N', 'D AH N']","['A', 'BAN', 'DON']",2747961,0.6113523009910196,0.6377212335893483
ABANDONED,"['AH', 'B AE N', 'D AH N D']","['A', 'BAN', 'DONED']",6371760,0.5611502724737313,0.5255538865488422
ABANDONMENT,"['AH', 'B AE N', 'D AH N', 'M AH N T']","['A', 'BAN', 'DON', 'MENT']",1297503,0.6303220176308705,0.6281139578603169
ABATE,"['AH', 'B EY T']","['A', 'BATE']",470646,0.4763244786317634,0.4277959867105502
ABATED,"['AH', 'B EY', 'T IH D']","['A', 'BAT', 'ED']",250433,0.5983475532770828,0.6450727159167827
ABATEMENT,"['AH', 'B EY T', 'M AH N T']","['A', 'BATE', 'MENT']",1606065,0.4778381416262688,0.3955845521230036
ABATING,"['AH', 'B EY', 'T IH NG']","['A', 'BAT', 'ING']",90502,0.7438419433763721,0.6685377829346185
ABATTOIR,"['AE', 'B AH', 'T W AA R']","['AB', 'A', 'TTOIR']",160074,0.7753860892592974,0.8002166783079839
ABBA,"['AE', 'B AH']","['A', 'BBA']",1670093,0.5689769387357431,0.7285749490913821
ABBE,"['AE', 'B IY']","['A', 'BBE']",303739,0.6509043072535377,0.7570058236855263
ABBEVILLE,"['AE B', 'V IH L']","['A', 'BBE', 'VILLE']",487728,0.4904768872229005,0.40841492785654526
ABBEY,"['AE', 'B IY']","['A', 'BBEY']",4224864,0.602689450614943,0.7117287359392018
ABBIE,"['AE', 'B IY']","['A', 'BBIE']",444814,0.6394921647176866,0.7484994063245703
ABBOT,"['AE', 'B AH T']","['A', 'BBOT']",992552,0.5892923867805983,0.7133230618499097
ABBOTT,"['AE', 'B AH T']","['A', 'BBOTT']",3143893,0.5623658049368769,0.6928052923066299
ABBOUD,"['AH', 'B UW D']","['A', 'BBOUD']",183991,0.5764227907333135,0.4098365619251932
ABBREVIATE,"['AH', 'B R IY', 'V IY', 'EY T']","['A', 'BBRE', 'VI', 'ATE']",140105,0.6025076497105899,0.7146705475498207
ABBREVIATED,"['AH', 'B R IY', 'V IY', 'EY', 'T IH D']","['A', 'BBRE', 'VI', 'AT', 'ED']",1217434,0.6043127653552511,0.7184274880477582
ABBREVIATING,"['AH', 'B R IY', 'V IY', 'EY', 'T IH NG']","['A', 'BBRE', 'VI', 'AT', 'ING']",21824,0.8029819729734896,0.7954049948442847
ABBREVIATION,"['AH', 'B R IY', 'V IY', 'EY', 'SH AH N']","['A', 'BBRE', 'VI', 'A', 'TION']",1693819,0.726269722470736,0.7137504203162317
ABBS,['AE B Z'],"['A', 'BB', 'S']",45751,0.5357048728349243,0.4336299510308033
ABBY,"['AE', 'B IY']","['A', 'BBY']",1962559,0.5275775858760213,0.6889447012885511
ABDICATE,"['AE B', 'D AH', 'K EY T']","['AB', 'DI', 'CATE']",124123,0.6739443000337599,0.5504299121037538
ABDICATED,"['AE B', 'D AH', 'K EY', 'T IH D']","['AB', 'DI', 'CAT', 'ED']",87948,0.7424701770444273,0.6481931263058643
ABDICATING,"['AE B', 'D IH', 'K EY', 'T IH NG']","['AB', 'DI', 'CAT', 'ING']",27176,0.7764690810066817,0.6276694213257178
ABDICATION,"['AE B', 'D IH', 'K EY', 'SH AH N']","['AB', 'DI', 'CA', 'TION']",128143,0.7015502857785083,0.5962044092026885
ABDOMEN,"['AE B', 'D OW', 'M AH N']","['AB', 'DO', 'MEN']",1490684,0.5911775966133339,0.5582648644218111
ABDOMINAL,"['AE B', 'D AA', 'M AH', 'N AH L']","['AB', 'DOM', 'I', 'NAL']",3090148,0.6402940056953882,0.6091140289000392
ABDUCT,"['AE B', 'D AH K T']","['AB', 'DUCT']",126225,0.4965400547491491,0.32641780073572546
ABDUCTION,"['AE B', 'D AH K', 'SH AH N']","['AB', 'DUC', 'TION']",1188510,0.4837145214967269,0.3021876040082968
ABDUCTOR,"['AE B', 'D AH K', 'T ER']","['AB', 'DUC', 'TOR']",82936,0.5035641709843802,0.5501676193126497
ABED,"['AH', 'B EH D']","['A', 'BED']",147933,0.5247763697244702,0.3633566734243188
ABEL,"['EY', 'B AH L']","['A', 'BEL']",1597985,0.6557095313557972,0.5698146894956408
ABELARD,"['AE', 'B IH', 'L ER D']","['AB', 'E', 'LARD']",110735,0.7707747933416561,0.7819188585205133
ABELE,"['AH', 'B EH L']","['A', 'BELE']",62988,0.5443122663364384,0.652811296292508
ABERCROMBIE,"['AE', 'B ER', 'K R AA M', 'B IY']","['AB', 'ER', 'CROM', 'BIE']",1399587,0.7091081851333949,0.8146042587370408
ABERDEEN,"['AE', 'B ER', 'D IY N']","['AB', 'ER', 'DEEN']",5660658,0.6640955637576341,0.7185094498365308
ABERNETHY,"['AE', 'B ER', 'N EH', 'TH IY']","['AB', 'ER', 'NET', 'HY']",146667,0.8409722883472175,0.9036404820331234
ABERRANT,"['AE', 'B EH', 'R AH N T']","['AB', 'ERR', 'ANT']",368866,0.7555953296620472,0.8191955501508275
ABERRATION,"['AE', 'B ER', 'EY', 'SH AH N']","['AB', 'ERR', 'A', 'TION']",443062,0.764624287243881,0.7438181535298077
ABET,"['AH', 'B EH T']","['A', 'BET']",286436,0.5926256924481045,0.4368917028819684
ABETTED,"['AH', 'B EH', 'T IH D']","['A', 'BE', 'TTED']",145570,0.6275129230096983,0.64454701450937
ABETTING,"['AH', 'B EH', 'T IH NG']","['A', 'BE', 'TTING']",233760,0.5921957994993053,0.6196933518134227
ABEYANCE,"['AH', 'B EY', 'AH N S']","['A', 'BEY', 'ANCE']",131094,0.6050217905625485,0.7008009931020888
ABHOR,"['AE', 'B HH AO R']","['AB', 'HOR']",169167,0.6530319657126235,0.7309423013667312
ABHORRED,"['AH', 'B HH AO R D']","['AB', 'HORRED']",77612,0.5815906601951771,0.7011614586193052
ABHORRENCE,"['AH', 'B HH AO', 'R AH N S']","['AB', 'HORR', 'ENCE']",93985,0.6577105446438475,0.6892802566118603
ABHORRENT,"['AE', 'B HH AO', 'R AH N T']","['AB', 'HORR', 'ENT']",167235,0.6915412438216693,0.6956563039484486
ABIDE,"['AH', 'B AY D']","['A', 'BIDE']",3722809,0.4326555451293891,0.4749864329618233
ABIDED,"['AH', 'B AY', 'D IH D']","['A', 'BID', 'ED']",51950,0.7704762676838528,0.667133104104705
ABIDING,"['AH', 'B AY', 'D IH NG']","['A', 'BID', 'ING']",947738,0.7303091441877072,0.6164285466502107
ABIDJAN,"['AE', 'B IH', 'JH AA N']","['A', 'BID', 'JAN']",324346,0.7450309845748131,0.8061427605322541
ABIE,"['AE', 'B IY']","['A', 'BIE']",61399,0.6726881177930024,0.7767023090616403
ABIGAIL,"['AE', 'B AH', 'G EY L']","['AB', 'I', 'GAIL']",1604495,0.7049877342858217,0.7643014026989882
ABILENE,"['AE', 'B IH', 'L IY N']","['AB', 'I', 'LENE']",1475478,0.6555797233697221,0.7801536334522532
ABILITY,"['AH', 'B IH', 'L AH', 'T IY']","['A', 'BIL', 'I', 'TY']",52004289,0.5736017820783882,0.6588600893526175
ABINGDON,"['AE', 'B IH N G', 'D AH N']","['AB', 'ING', 'DON']",901963,0.7572717431531835,0.7809080769605627
ABINGTON,"['AE', 'B IH N G', 'T AH N']","['AB', 'ING', 'TON']",453270,0.7346146940713805,0.7723901878555454
ABJECT,"['AE B', 'JH EH K T']","['AB', 'JECT']",312620,0.4649499211467932,0.2913783611629133
ABKHAZIA,"['AE B', 'K AA', 'Z Y AH']","['AB', 'KHA', 'ZI', 'A']",203928,0.5528880476657662,0.4589005629182905
ABKHAZIAN,"['AE B', 'K AA', 'Z IY', 'AH N']","['AB', 'KHA', 'ZI', 'AN']",95160,0.7080607808906211,0.7643316164832242
ABLATE,"['AH', 'B L EY T']","['AB', 'LATE']",20449,0.7278521655716547,0.6898454741648726
ABLATION,"['AH', 'B L EY', 'SH AH N']","['AB', 'LA', 'TION']",635932,0.7114096019382223,0.7256924454117774
ABLAZE,"['AH', 'B L EY Z']","['A', 'BLAZE']",321096,0.4776399308646233,0.5297895792614192
ABLE,"['EY', 'B AH L']","['A', 'BLE']",109389038,0.4882135820568409,0.37031808993320764
ABLER,"['EY', 'B AH', 'L ER']","['A', 'BLER']",29740,0.48667802175696234,0.387918081980703
ABLEST,"['EY', 'B AH L S T']","['A', 'BLEST']",62403,0.7169099237528632,0.5246750107399681
ABLUTION,"['AH', 'B L UW', 'SH AH N']","['AB', 'LU', 'TION']",137649,0.6877055025710286,0.7093256840902721
ABLY,"['EY', 'B L IY']","['A', 'BLY']",425590,0.5532281305853686,0.45925050340982554
ABNEGATION,"['AE B', 'N EH', 'G EY', 'SH AH N']","['AB', 'NE', 'GA', 'TION']",26265,0.7632488119863964,0.6534130911199317
ABNER,"['AE B', 'N ER']","['AB', 'NER']",445318,0.3853960301624083,0.4325975018578742
ABNORMAL,"['AE B', 'N AO R', 'M AH L']","['AB', 'NOR', 'MAL']",3963331,0.5377943668638022,0.5197091260838996
ABNORMALITY,"['AE B', 'N AO R', 'M AE', 'L AH', 'T IY']","['AB', 'NOR', 'MAL', 'I', 'TY']",544301,0.7317928071489044,0.758417421966332
ABNORMALLY,"['AE B', 'N AO R', 'M AH', 'L IY']","['AB', 'NOR', 'MA', 'LLY']",501580,0.5375454189805644,0.6651117822326722
ABO,"['AA', 'B OW']","['AB', 'O']",537387,0.7629697577126286,0.7138873160968207
ABOARD,"['AH', 'B AO R D']","['A', 'BOARD']",4080258,0.48190190513619324,0.3657156945411037
ABODE,"['AH', 'B OW D']","['A', 'BODE']",1246541,0.45274034955690257,0.44314741862128926
ABOLISH,"['AH', 'B AA', 'L IH SH']","['A', 'BO', 'LISH']",912065,0.6533786290789785,0.6004642292424912
ABOLITION,"['AE', 'B AH', 'L IH', 'SH AH N']","['AB', 'O', 'LI', 'TION']",1132361,0.7758729324268041,0.7480420349175458
ABOLITIONISM,"['AE', 'B AH', 'L IH', 'SH AH', 'N IH', 'Z AH M']","['AB', 'O', 'LI', 'TIO', 'NISM']",39742,0.6305135603326111,0.516343358227309
ABOLITIONIST,"['AE', 'B AH', 'L IH', 'SH AH', 'N AH S T']","['AB', 'O', 'LI', 'TIO', 'NIST']",226532,0.8320642097127241,0.8534209816639927
ABOMINABLE,"['AH', 'B AA', 'M AH', 'N AH', 'B AH L']","['A', 'BOM', 'I', 'NA', 'BLE']",317597,0.7364701682752329,0.7812998860435669
ABOMINATION,"['AH', 'B AA', 'M AH', 'N EY', 'SH AH N']","['A', 'BOM', 'I', 'NA', 'TION']",396240,0.8058235737751026,0.7880801112464485
ABORIGINAL,"['AE', 'B ER', 'IH', 'JH AH', 'N AH L']","['AB', 'O', 'RIG', 'I', 'NAL']",7042822,0.7300507811807713,0.7983820841927333
ABORIGINE,"['AE', 'B ER', 'IH', 'JH AH', 'N IY']","['AB', 'O', 'RIG', 'I', 'NE']",94041,0.9062273202356824,0.948254691910171
ABORT,"['AH', 'B AO R T']","['A', 'BORT']",1569892,0.44850653203997465,0.531510559805741
ABORTIFACIENT,"['AH', 'B AO R', 'T AH', 'F EY', 'SH AH N T']","['A', 'BOR', 'TI', 'FA', 'CIENT']",39182,0.865725015261949,0.8057741894039355
ABORTION,"['AH', 'B AO R', 'SH AH N']","['A', 'BOR', 'TION']",9397315,0.5311176465530014,0.4727375757082051
ABORTIONIST,"['AH', 'B AO R', 'SH AH', 'N IH S T']","['A', 'BOR', 'TIO', 'NIST']",67934,0.6581721656552627,0.6717383617807624
ABORTIVE,"['AH', 'B AO R', 'T IH V']","['A', 'BOR', 'TIVE']",175796,0.5901404416295867,0.49134136824209623
ABOUND,"['AH', 'B AW N D']","['A', 'BOUND']",1494791,0.5427760091779016,0.34842670807774817
ABOUT,"['AH', 'B AW T']","['A', 'BOUT']",1226734006,0.4446957588725365,0.30849236477382136
ABOVE,"['AH', 'B AH V']","['A', 'BOVE']",141894620,0.414516600360808,0.36079050457279516
ABOVEBOARD,"['AH', 'B AH V', 'B AO R D']","['A', 'BOVE', 'BOARD']",13211,0.5973044063930952,0.4989915081183973
ABRACADABRA,"['AE', 'B R AH', 'K AH', 'D AE', 'B R AH']","['AB', 'RA', 'CA', 'DAB', 'RA']",177100,0.8690591107666555,0.9206066577759994
ABRADE,"['AE', 'B R EY D']","['A', 'BRADE']",25533,0.6747779882392226,0.6632988509348794
ABRADED,"['AE', 'B R EY', 'D IH D']","['A', 'BRAD', 'ED']",55869,0.8293265022917187,0.742475995595236
ABRAHAM,"['EY', 'B R AH', 'HH AE M']","['A', 'BRA', 'HAM']",5894747,0.6627125736614539,0.5816479170714679
ABRAM,"['AH', 'B R AE M']","['A', 'BRAM']",610831,0.5054710040694946,0.45931669731887514
ABRASION,"['AH', 'B R EY', 'ZH AH N']","['A', 'BRA', 'SION']",827493,0.6467670689067827,0.5961589351616904
ABRASIVE,"['AH', 'B R EY', 'S IH V']","['A', 'BRA', 'SIVE']",1246390,0.5682509767055846,0.6154327790270956
ABRAXAS,"['AH', 'B R AE K', 'S AH Z']","['A', 'BRAX', 'AS']",139490,0.7339711531188139,0.7185749778584581
ABREAST,"['AH', 'B R EH S T']","['A', 'BREAST']",755392,0.5124078403195728,0.4952969897083407
ABRIDGE,"['AH', 'B R IH JH']","['A', 'BRIDGE']",96435,0.6574594054874422,0.4972768821047479
ABRIDGED,"['AH', 'B R IH JH D']","['A', 'BRIDGED']",1436609,0.4501352143054238,0.42636317417122294
ABRIDGEMENT,"['AH', 'B R IH J H', 'M AH N T']","['A', 'BRIDGE', 'MENT']",57411,0.6944171828050929,0.532558018403897
ABRIDGING,"['AH', 'B R IH', 'JH IH NG']","['A', 'BRIDG', 'ING']",59340,0.7914134613548619,0.6702024032123335
ABROAD,"['AH', 'B R AO D']","['A', 'BROAD']",14837382,0.47992494221009113,0.37386503952253863
ABROGATE,"['AE', 'B R AH', 'G EY T']","['AB', 'RO', 'GATE']",137082,0.7011554816794205,0.7199286894514771
ABROGATED,"['AE', 'B R AH', 'G EY', 'T IH D']","['AB', 'RO', 'GAT', 'ED']",162405,0.7317282591787091,0.7753889671841301
ABROGATING,"['AE', 'B R AH', 'G EY', 'T IH NG']","['AB', 'RO', 'GAT', 'ING']",33981,0.814547059313074,0.8099532598924859
ABROGATION,"['AE', 'B R AH', 'G EY', 'SH AH N']","['AB', 'RO', 'GA', 'TION']",129242,0.812977231846581,0.7868406757728178
ABRUPT,"['AH', 'B R AH P T']","['AB', 'RUPT']",920475,0.6684597730065054,0.6294939576509876
ABRUPTLY,"['AH', 'B R AH P', 'T L IY']","['AB', 'RUPT', 'LY']",1051602,0.7443045046314264,0.6053103830626649
ABRUPTNESS,"['AH', 'B R AH P T', 'N AH S']","['AB', 'RUPT', 'NESS']",31216,0.7533488950546038,0.737426006471218
ABSALOM,"['AE B', 'S AH', 'L AH M']","['AB', 'SA', 'LOM']",244493,0.59955617181886,0.6692291115647496
ABSCESS,"['AE B', 'S EH S']","['AB', 'SCESS']",539538,0.45135745509137437,0.5125439463900133
ABSCOND,"['AE B', 'S K AA N D']","['AB', 'SCOND']",31834,0.5015617496486547,0.42903559512248435
ABSECON,"['AE B', 'S AH', 'K AO N']","['AB', 'SE', 'CON']",162752,0.758971447519755,0.634816253154481
ABSENCE,"['AE B', 'S AH N S']","['AB', 'SENCE']",14681896,0.46226713111369094,0.4601984203447939
ABSENT,"['AE B', 'S AH N T']","['AB', 'SENT']",8831540,0.5697295800544051,0.4407616888422549
ABSENTEE,"['AE B', 'S AH N', 'T IY']","['AB', 'SEN', 'TEE']",1238718,0.6315723843817423,0.6457921932082897
ABSENTEEISM,"['AE B', 'S AH N', 'T IY', 'IH', 'Z AH M']","['AB', 'SEN', 'TEE', 'ISM']",405412,0.5386360463102887,0.45095493943771725
ABSENTIA,"['AE B', 'S EH N', 'SH AH']","['AB', 'SEN', 'TI', 'A']",153362,0.5587985642178683,0.4621957309390717
ABSINTHE,"['AE B', 'S IH N TH']","['AB', 'SINTHE']",602158,0.4494096041572304,0.39242054813312316
ABSOLUTE,"['AE B', 'S AH', 'L UW T']","['AB', 'SO', 'LUTE']",16198563,0.5090680599189776,0.5477892737619154
ABSOLUTELY,"['AE B', 'S AH', 'L UW', 'T L IY']","['AB', 'SO', 'LUTE', 'LY']",20816571,0.6276979590475418,0.6493714674920001
ABSOLUTENESS,"['AE B', 'S AH', 'L UW T', 'N AH S']","['AB', 'SO', 'LUTE', 'NESS']",21152,0.6763074417352832,0.6935820858856729
ABSOLUTION,"['AE B', 'S AH', 'L UW', 'SH AH N']","['AB', 'SO', 'LU', 'TION']",265660,0.6023382749122626,0.6510600120168439
ABSOLUTISM,"['AE B', 'S AH', 'L UW', 'T IH', 'Z AH M']","['AB', 'SO', 'LU', 'TISM']",118754,0.5641030487818935,0.46515303048269396
ABSOLUTIST,"['AE B', 'S AH', 'L UW', 'T IH S T']","['AB', 'SO', 'LU', 'TIST']",115949,0.5817238531298529,0.6839581524696096
ABSOLVE,"['AH B', 'Z AA L V']","['AB', 'SOLVE']",166260,0.5761666913017612,0.5000956306491668
ABSOLVED,"['AH B', 'Z AA L V D']","['AB', 'SOLVED']",114147,0.5716292004714059,0.5176567766447441
ABSOLVING,"['AH B', 'Z AA L', 'V IH NG']","['AB', 'SOLV', 'ING']",29313,0.8028877832078701,0.511482325099731
ABSORB,"['AH B', 'Z AO R B']","['AB', 'SORB']",2378096,0.5268270517390113,0.4422481565802149
ABSORBED,"['AH B', 'Z AO R B D']","['AB', 'SORBED']",3125006,0.47111077726064327,0.4464824133872491
ABSORBENCY,"['AH B', 'Z AO R', 'B AH N', 'S IY']","['AB', 'SORB', 'EN', 'CY']",102305,0.7665474645986621,0.7961568506590523
ABSORBENT,"['AH B', 'Z AO R', 'B AH N T']","['AB', 'SOR', 'BENT']",788293,0.6106125258880194,0.5995412137967309
ABSORBER,"['AH B', 'Z AO R', 'B ER']","['AB', 'SOR', 'BER']",772906,0.6126245461821694,0.6442733442529478
ABSORBING,"['AH B', 'Z AO R', 'B IH NG']","['AB', 'SORB', 'ING']",1613367,0.7001955265180811,0.5541009889014923
ABSORPTION,"['AH B', 'Z AO R P', 'SH AH N']","['AB', 'SORP', 'TION']",5294724,0.5397702600781589,0.4705904572358422
ABSTAIN,"['AH B', 'S T EY N']","['AB', 'STAIN']",857265,0.5385153175707799,0.4870261122814208
ABSTENTION,"['AH B', 'S T EH N', 'CH AH N']","['AB', 'STEN', 'TION']",212609,0.7244485475944468,0.5863310778655797
ABSTINENCE,"['AE B', 'S T AH', 'N AH N S']","['AB', 'STI', 'NENCE']",1160063,0.4717129095373109,0.5735675941959906
ABSTINENT,"['AE B', 'S T AH', 'N AH N T']","['AB', 'STI', 'NENT']",63386,0.579860713626011,0.6183746224300742
ABSTRACT,"['AE B', 'S T R AE K T']","['AB', 'STRACT']",55951880,0.46226713111369094,0.45051898097862925
ABSTRACTED,"['AE B', 'S T R AE K', 'T IH D']","['AB', 'STRACT', 'ED']",460511,0.5902109249856923,0.5310142992849213
ABSTRACTION,"['AE B', 'S T R AE K', 'SH AH N']","['AB', 'STRAC', 'TION']",2366467,0.47604553984755354,0.5443957226291952
ABSTRUSE,"['AH B', 'S T R UW S']","['AB', 'STRUSE']",79101,0.5437137081403856,0.4419757780470321
ABSURD,"['AH B', 'S ER D']","['AB', 'SURD']",2148981,0.5319718758993487,0.48990146512572763
ABSURDITY,"['AH B', 'S ER', 'D AH', 'T IY']","['AB', 'SURD', 'I', 'TY']",544495,0.687425200189421,0.7621620750393329
ABSURDLY,"['AH B', 'S ER', 'D L IY']","['AB', 'SURD', 'LY']",201254,0.7220042388318644,0.7083383416893135
ABUNDANCE,"['AH', 'B AH N', 'D AH N S']","['A', 'BUN', 'DANCE']",4870991,0.44650437288899625,0.6056454789653705
ABUNDANT,"['AH', 'B AH N', 'D AH N T']","['A', 'BUN', 'DANT']",3441495,0.4808355560803371,0.6449251407094051
ABUNDANTLY,"['AH', 'B AH N', 'D AH N', 'T L IY']","['A', 'BUN', 'DANT', 'LY']",531094,0.7117275710645957,0.7757006252979814
ABUSE,"['AH', 'B Y UW S']","['A', 'BUSE']",36269685,0.414516600360808,0.4043722877386066
ABUSED,"['AH', 'B Y UW Z D']","['A', 'BUSED']",3319897,0.4347582743005776,0.4392400917584815
ABUSER,"['AH', 'B Y UW', 'Z ER']","['A', 'BU', 'SER']",423584,0.6810672055763944,0.6426838256423972
ABUSING,"['AH', 'B Y UW', 'Z IH NG']","['A', 'BUS', 'ING']",1007630,0.7719809525511641,0.6113970276207192
ABUSIVE,"['AH', 'B Y UW', 'S IH V']","['A', 'BU', 'SIVE']",3183793,0.5979198296041074,0.5151883804212865
ABUT,"['AH', 'B AH T']","['A', 'BUT']",186583,0.5817109278685993,0.6455033037622571
ABUTTED,"['AH', 'B AH', 'T IH D']","['A', 'BU', 'TTED']",25341,0.6434546256875916,0.6870013401792522
ABUTTING,"['AH', 'B AH', 'T IH NG']","['A', 'BU', 'TTING']",315091,0.5631179991311505,0.6296387447289647
ABUZZ,"['AH', 'B AH Z']","['A', 'BUZZ']",101924,0.4987051373476347,0.47239897791227164
ABYSMAL,"['AH', 'B IH Z', 'M AH L']","['A', 'BYS', 'MAL']",386384,0.5802730871904684,0.6392225332576799
ABYSMALLY,"['AH', 'B IH Z', 'M AH', 'L IY']","['A', 'BYS', 'MA', 'LLY']",38416,0.5719514200639799,0.7658601041113327
ABYSS,"['AH', 'B IH S']","['A', 'BYSS']",1152408,0.4872989825634369,0.5208875876064514
ABYSSINIA,"['AE B', 'S IH', 'N IY', 'AH']","['AB', 'Y', 'SSIN', 'I', 'A']",83998,0.6138900851198028,0.5070756159864025
ABYSSINIAN,"['AE B', 'S IH', 'N IY', 'AH N']","['AB', 'Y', 'SSIN', 'I', 'AN']",128656,0.6044198116994265,0.5017958503605405
ACACIA,"['AH', 'K EY', 'SH AH']","['A', 'CA', 'CIA']",1044793,0.6254122881688705,0.7042426415520862
ACADEME,"['AE', 'K AH', 'D IY M']","['AC', 'A', 'DEME']",387561,0.715154720901588,0.7613509828993453
ACADEMIA,"['AE', 'K AH', 'D IY', 'M IY', 'AH']","['AC', 'A', 'DE', 'MI', 'A']",2202285,0.8103031090737385,0.8344680595020382
ACADEMIC,"['AE', 'K AH', 'D EH', 'M IH K']","['AC', 'A', 'DE', 'MIC']",54886061,0.6489639097912875,0.7021394866661494
